Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,205.149994,205.679993,204.46000700000002,205.470001,3809000,179.805614
2012-04-09,204.399994,206.169998,203.369995,204.940002,3326900,179.341815
2012-04-10,204.940002,205.740005,202.169998,202.330002,4132900,177.057818
2012-04-11,203.990005,204.320007,202.46000700000002,202.580002,3366200,177.276592
2012-04-12,202.800003,205.559998,202.639999,205.320007,2929600,179.674355
2012-04-13,204.320007,204.649994,202.800003,202.800003,3767000,177.469114
2012-04-16,204.740005,205.970001,202.720001,202.720001,3826600,177.399104
2012-04-17,204.570007,207.639999,204.149994,207.449997,6065500,181.538296
2012-04-18,202.429993,204.070007,200.0,200.130005,10153500,175.132614
2012-04-19,200.029999,201.259995,197.520004,199.509995,5762900,174.590046
2012-04-20,199.830002,200.119995,199.08999599999999,199.600006,4758200,174.668815
2012-04-23,197.889999,199.100006,196.78999299999998,198.619995,3618800,173.81121299999998
2012-04-24,199.059998,202.479996,198.869995,200.0,5626300,175.018847
2012-04-25,202.020004,203.690002,201.800003,203.570007,4003400,178.14293999999998
2012-04-26,203.399994,206.21000700000002,203.399994,205.580002,3302700,179.901874
2012-04-27,206.470001,208.169998,205.91000400000001,206.809998,3496900,180.978237
2012-04-30,206.71000700000002,207.96000700000002,206.320007,207.080002,2773200,181.214516
2012-05-01,207.179993,208.929993,206.71000700000002,208.0,2715900,182.019601
2012-05-02,206.970001,208.270004,206.91000400000001,208.059998,2360300,182.072104
2012-05-03,208.270004,208.919998,206.550003,207.240005,2826600,181.354534
2012-05-04,206.470001,207.110001,204.399994,204.990005,4023600,179.385572
2012-05-07,203.96000700000002,204.770004,202.899994,203.75,3373400,178.30045
2012-05-08,202.440002,203.059998,199.720001,201.479996,3881500,177.052605
2012-05-09,199.990005,203.0,199.059998,201.229996,3742500,176.83291499999999
2012-05-10,201.0,203.25,200.020004,200.600006,3830500,176.279305
2012-05-11,199.96000700000002,202.119995,199.949997,201.169998,2391500,176.780192
2012-05-14,199.919998,200.71000700000002,198.559998,199.440002,3029200,175.25994
2012-05-15,199.440002,201.470001,198.759995,199.03999299999998,2987400,174.90842800000001
2012-05-16,199.419998,201.350006,198.179993,199.729996,5001000,175.514775
2012-05-17,199.669998,200.78999299999998,197.639999,197.889999,5626300,173.897859
2012-05-18,198.779999,198.779999,195.16000400000001,195.880005,5737100,172.13155600000002
2012-05-21,195.979996,197.929993,194.630005,197.759995,3831700,173.783616
2012-05-22,198.03999299999998,198.259995,196.059998,196.820007,3567100,172.957593
2012-05-23,195.529999,196.490005,193.199997,196.119995,4100000,172.34245
2012-05-24,195.990005,196.279999,194.0,196.08999599999999,3569300,172.31608799999998
2012-05-25,195.110001,196.0,194.0,194.300003,2901900,170.743113
2012-05-29,195.220001,198.080002,195.220001,196.46000700000002,3618500,172.641238
2012-05-30,194.800003,195.470001,193.770004,194.529999,3602500,170.945224
2012-05-31,194.100006,194.929993,192.0,192.899994,9287500,169.51284099999998
2012-06-01,190.119995,191.720001,188.600006,189.080002,5206400,166.15598400000002
2012-06-04,188.33999599999999,189.380005,187.0,188.53999299999998,4624500,165.681446
2012-06-05,187.919998,189.850006,187.559998,189.199997,3556500,166.26143100000002
2012-06-06,190.779999,194.0,190.020004,193.990005,3641300,170.4707
2012-06-07,195.279999,195.830002,193.940002,194.440002,3701100,170.86613899999998
2012-06-08,193.71000700000002,195.139999,192.699997,195.139999,2479200,171.481269
2012-06-11,196.600006,196.699997,192.369995,192.509995,3273300,169.170125
2012-06-12,192.139999,194.669998,192.139999,194.550003,3023700,170.962803
2012-06-13,194.360001,195.190002,192.350006,193.100006,3247700,169.688604
2012-06-14,193.0,195.830002,192.740005,195.100006,3585000,171.446124
